Data Shared,Category,App Name,Count
affiliates,Affiliate Data,Vivitar Smart Home Security,1
business partners,Business Partner Data,1Weather: Forecast & Radar,1
business partners,Business Partner Data,Vivitar Smart Home Security,1
health functions),Health Data,Smart Life - Smart Living,1
images,Content Data,Spdate - meet singles nearby o,1
payment processors,Payment Data,Once: Perfect Match and Dates,1
service providers,Service Provider Data,1Weather: Forecast & Radar,1
service providers,Service Provider Data,Plenty of Fish Dating App,1
service providers,Service Provider Data,"UC Browser-Safe, Fast, Private",1
service providers,Service Provider Data,"Vault - Hide Pics, App Lock",1
videos),Content Data,Spdate - meet singles nearby o,1
